Run,Run2,CS,F,D,MRR,Ra,Ry,Rz,Rq,Rt,Rsm,PC1,PC2,PC3,PC4
10,15,220,0.15,0.15,4.95,0.2200,1.4308,0.9458,0.2667,1.9342,125.0000,4.4069,-2.5664,0.32242,-1.884
1,1,200,0.1,0.1,2,0.1600,1.0875,0.8125,0.1942,1.4317,68.7500,-12.605,1.9264,-0.11921,0.58153
2,2,240,0.1,0.1,2.4,0.1575,1.1658,0.8617,0.1983,1.5217,74.4167,-11.205,0.029189,3.5818,-1.1902
3,3,200,0.2,0.1,4,0.4500,2.4117,1.7908,0.5325,2.9142,107.7500,-5.8164,2.0384,-2.6286,1.3663
4,5,200,0.1,0.2,4,0.1900,1.4500,1.1517,0.2342,1.7908,45.1667,-6.4216,2.6116,0.7348,3.6999
5,6,240,0.1,0.2,4.8,0.2292,1.7042,1.1392,0.2908,2.5033,83.1667,-6.8291,1.1948,3.9691,0.71564
6,8,240,0.2,0.2,9.6,0.5200,2.9350,2.2400,0.6250,3.5900,191.8333,16.565,9.4262,2.0541,1.2316
7,9,186.3641434,0.15,0.15,4.193193226,0.2308,1.4308,1.0933,0.2858,1.9933,72.3333,1.024,-4.0734,-1.2163,1.805
8,12,220,0.234089642,0.15,7.72495817,0.4900,2.4875,1.9000,0.5750,2.9467,204.0000,8.5167,-4.05,0.61584,-0.4721
9,14,220,0.15,0.234089642,7.72495817,0.2808,2.1175,1.4142,0.3567,2.9525,72.0833,7.0966,-2.3667,4.0504,0.82166
10,15,220,0.15,0.15,4.95,0.2100,1.3992,0.9208,0.2583,1.8892,136.0833,4.4995,-2.1736,0.68646,-2.1961
1,1,200,0.1,0.1,2,0.1500,1.0750,0.8017,0.1917,1.4058,70.1667,-12.881,1.9086,0.08701,0.63369
2,2,240,0.1,0.1,2.4,0.1550,1.1758,0.8633,0.1958,1.4883,73.5833,-13.672,-0.72797,2.6661,-1.1399
3,3,200,0.2,0.1,4,0.4400,2.3642,1.7758,0.5292,2.7958,108.9167,-6.1449,2.3224,-1.9089,1.3966
4,5,200,0.1,0.2,4,0.1800,1.4442,1.1492,0.2333,1.7317,44.6667,-7.2547,2.3596,1.4018,3.1977
5,6,240,0.1,0.2,4.8,0.2275,1.6717,1.1183,0.2867,2.3625,84.0833,-5.662,2.3962,5.4102,0.13461
6,8,240,0.2,0.2,9.6,0.5200,2.9358,2.2258,0.6217,3.6183,192.2500,15.203,8.8453,1.3927,0.76749
7,9,186.3641434,0.15,0.15,4.193193226,0.2525,1.7067,1.2550,0.3167,2.5483,63.5000,0.72856,-4.1523,-0.2654,1.5296
8,12,220,0.234089642,0.15,7.72495817,0.4908,2.4900,1.8925,0.5742,2.9358,198.6667,3.8473,-3.6419,0.78801,-0.49654
9,14,220,0.15,0.234089642,7.72495817,0.2792,2.1150,1.4067,0.3558,2.8975,70.8333,6.048,-2.2502,4.6118,0.30488
10,15,220,0.15,0.15,4.95,0.2100,1.3825,0.9167,0.2533,1.8908,123.4167,3.3731,-1.8063,0.92054,-1.6758
